,QA model,Dataset,embed_title,context_window_size,max_seq_len,doc_stride,max_seq_len_passage,max_seq_len_query,Retriever top-k,QA top-k,Rouge-1,Rouge-2,Rouge-l,Bleu,Answers percent in retrieved documents,VRAM,document embedding time,inference time
10,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,128,256,64,3,5,0.28549381376786553,0.18755933835115085,0.2753894644784362,0.05681966390039656,0.14705882352941174,0,584.7957592010497,2.660492420196533
11,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,128,256,64,3,7,0.2820642728838944,0.18341659036113103,0.27033654697108844,0.049169589399049925,0.14705882352941174,0,584.7957592010497,2.745596408843994
12,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,128,256,64,5,3,0.28297193082483185,0.1823004575776766,0.26304109639975404,0.07672237413904816,0.14705882352941174,0,584.7957592010497,3.982078075408936
13,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,128,256,64,5,5,0.3192766783543148,0.21588122873755955,0.30607607030186873,0.050894461042264263,0.14705882352941174,0,584.7957592010497,4.1092822551727295
14,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,128,256,64,5,7,0.3016593148074969,0.1943471581654304,0.28302361517084845,0.0460042894712147,0.14705882352941174,0,584.7957592010497,4.188981294631958
15,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,128,256,64,7,3,0.2620035666427012,0.17489708111650945,0.2468217422910713,0.06932413886723772,0.14492753623188406,0,584.7957592010497,5.144747972488403
16,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,128,256,64,7,5,0.2655796497803363,0.16184795812443956,0.25391563945518203,0.04370274694426013,0.14705882352941174,0,584.7957592010497,5.310307025909424
17,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,128,256,64,7,7,0.2839247609666546,0.17656728245576594,0.2703035544233479,0.03586687206620375,0.14705882352941174,0,584.7957592010497,5.8035223484039316
18,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,175,256,100,256,64,3,3,0.2510976582887212,0.1593676027792391,0.2438555947966577,0.07987744823162223,0.14705882352941174,0,584.7957592010497,2.689215660095215
19,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,175,256,100,256,64,3,5,0.28549381376786553,0.18755933835115085,0.2753894644784362,0.05681966390039656,0.14705882352941174,0,584.7957592010497,2.70820426940918
20,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,175,256,100,256,64,3,7,0.2820642728838944,0.18341659036113103,0.27033654697108844,0.049169589399049925,0.14705882352941174,0,584.7957592010497,2.7587172985076904
21,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,175,256,100,256,64,5,3,0.28297193082483185,0.1823004575776766,0.26304109639975404,0.07672237413904816,0.14705882352941174,0,584.7957592010497,3.927376508712769
22,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,175,256,100,256,64,5,5,0.3192766783543148,0.21588122873755955,0.30607607030186873,0.050894461042264263,0.14705882352941174,0,584.7957592010497,4.022982835769653
23,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,175,256,100,256,64,5,7,0.3016593148074969,0.1943471581654304,0.28302361517084845,0.0460042894712147,0.14705882352941174,0,584.7957592010497,4.110877513885498
